Plotname;Plotid;Corner;Status;Location;Longitude;Latitude;utm_x;utm_y
SEW15;S5102;NE;EP;Forest;13.7382995644145;52.9149925284504;818514.117394381;5873331.17273378
SEW15;S5102;NW;EP;Forest;13.7368055467855;52.9149925284504;818413.750486756;5873324.53716351
SEW15;S5102;SE;EP;Forest;13.7382995644145;52.9140916275495;818520.737819598;5873231.05016847
SEW15;S5102;SW;EP;Forest;13.7368055467855;52.9140916275495;818420.368818874;5873224.41453869
SEW16;S260;NE;EP;Forest;13.8647354427197;53.0770336199504;825783.792200404;5891908.08970485
SEW16;S260;NW;EP;Forest;13.8632358082803;53.0770336199504;825683.431471668;5891901.26208621
SEW16;S260;SE;EP;Forest;13.8647354427197;53.0761327190495;825790.604336912;5891807.97146856
SEW16;S260;SW;EP;Forest;13.8632358082803;53.0761327190495;825690.241502332;5891801.14378732
SEW17;S5001;NE;EP;Forest;13.8282345381581;52.9428012183505;824347.480200515;5876824.91571505
SEW17;S5001;NW;EP;Forest;13.8267395604419;52.9428012183505;824247.117096576;5876818.15136192
SEW17;S5001;SE;EP;Forest;13.8282345381581;52.9419003174496;824354.229116868;5876724.79662936
SEW17;S5001;SW;EP;Forest;13.8267395604419;52.9419003174496;824253.863917404;5876718.0322153
SEW18;S5051;NE;EP;Forest;13.9179941055493;52.8628735360504;830982.848973689;5868352.70761869
SEW18;S5051;NW;EP;Forest;13.9165018830507;52.8628735360504;830882.489026723;5868345.82435694
SEW18;S5051;SE;EP;Forest;13.9179941055493;52.8619726351496;830989.716443758;5868252.5925888
SEW18;S5051;SW;EP;Forest;13.9165018830507;52.8619726351496;830889.354406973;5868245.70926568
